node,function,verse,text,front,sentence
514212,simultaneous,2 Chr 23:1,בַשָּׁנָ֨ה שְּׁבִעִ֜ית,בְּ,וּבַשָּׁנָ֨ה הַשְּׁבִעִ֜ית הִתְחַזַּ֣ק יְהֹויָדָ֗ע 
514306,atelic_ext,2 Chr 24:1,אַרְבָּעִ֣ים שָׁנָ֔ה,Ø,וְאַרְבָּעִ֣ים שָׁנָ֔ה מָלַ֖ךְ בִּֽירוּשָׁלִָ֑ם 
514308,atelic_ext,2 Chr 24:2,כָּל־יְמֵ֖י יְהֹויָדָ֥ע,Ø,וַיַּ֧עַשׂ יֹואָ֛שׁ הַיָּשָׁ֖ר בְּעֵינֵ֣י יְהוָ֑ה כָּל־יְמֵ֖י יְהֹויָדָ֥ע הַכֹּהֵֽן׃ 
514364,simultaneous,2 Chr 24:15,בְּמֹותֹֽו׃,בְּ,בֶּן־מֵאָ֧ה וּשְׁלֹשִׁ֛ים שָׁנָ֖ה בְּמֹותֹֽו׃ 
514390,simultaneous,2 Chr 24:22,כְמֹותֹ֣ו,כְּ,וּכְמֹותֹ֣ו אָמַ֔ר 
514393,simultaneous,2 Chr 24:23,לִתְקוּפַ֣ת הַשָּׁנָ֗ה,לְ,וַיְהִ֣י׀ לִתְקוּפַ֣ת הַשָּׁנָ֗ה 
514418,atelic_ext,2 Chr 25:1,עֶשְׂרִ֣ים וָתֵ֨שַׁע֙ שָׁנָ֔ה,Ø,וְעֶשְׂרִ֣ים וָתֵ֨שַׁע֙ שָׁנָ֔ה מָלַ֖ךְ בִּירוּשָׁלִָ֑ם 
514565,atelic_ext,2 Chr 26:3,חֲמִשִּׁ֤ים וּשְׁתַּ֨יִם֙ שָׁנָ֔ה,Ø,וַחֲמִשִּׁ֤ים וּשְׁתַּ֨יִם֙ שָׁנָ֔ה מָלַ֖ךְ בִּירוּשָׁלִָ֑ם 
514571,simultaneous,2 Chr 26:5,בִּימֵ֣י זְכַרְיָ֔הוּ,בְּ,וַיְהִי֙ לִדְרֹ֣שׁ אֱלֹהִ֔ים בִּימֵ֣י זְכַרְיָ֔הוּ הַמֵּבִ֖ין בִּרְאֹ֣ת הָאֱלֹהִ֑ים 
514655,atelic_ext,2 Chr 27:1,שֵׁשׁ־עֶשְׂרֵ֣ה שָׁנָ֔ה,Ø,וְשֵׁשׁ־עֶשְׂרֵ֣ה שָׁנָ֔ה מָלַ֖ךְ בִּֽירוּשָׁלִָ֑ם 
514668,simultaneous,2 Chr 27:5,בַּשָּׁנָ֣ה הִ֗יא,בְּ,וַיִּתְּנוּ־לֹ֨ו בְנֵֽי־עַמֹּ֜ון בַּשָּׁנָ֣ה הַהִ֗יא מֵאָה֙ כִּכַּר־כֶּ֔סֶף וַעֲשֶׂ֨רֶת אֲלָפִ֤ים כֹּרִים֙ חִטִּ֔ים וּשְׂעֹורִ֖ים עֲשֶׂ֣רֶת אֲלָפִ֑ים 
514677,atelic_ext,2 Chr 27:8,שֵׁשׁ־עֶשְׂרֵ֣ה שָׁנָ֔ה,Ø,וְשֵׁשׁ־עֶשְׂרֵ֣ה שָׁנָ֔ה מָלַ֖ךְ בִּירוּשָׁלִָֽם׃ 
514683,atelic_ext,2 Chr 28:1,שֵׁשׁ־עֶשְׂרֵ֣ה שָׁנָ֔ה,Ø,וְשֵׁשׁ־עֶשְׂרֵ֣ה שָׁנָ֔ה מָלַ֖ךְ בִּירוּשָׁלִָ֑ם 
514745,simultaneous,2 Chr 28:16,בָּעֵ֣ת הִ֗יא,בְּ,בָּעֵ֣ת הַהִ֗יא שָׁלַ֞ח הַמֶּ֧לֶךְ אָחָ֛ז עַל־מַלְכֵ֥י אַשּׁ֖וּר לַעְזֹ֥ר לֹֽו׃ 
514791,atelic_ext,2 Chr 29:1,עֶשְׂרִ֤ים וָתֵ֨שַׁע֙ שָׁנָ֔ה,Ø,וְעֶשְׂרִ֤ים וָתֵ֨שַׁע֙ שָׁנָ֔ה מָלַ֖ךְ בִּירוּשָׁלִָ֑ם 
514850,simultaneous,2 Chr 29:17,בְּאֶחָ֞ד לַחֹ֣דֶשׁ רִאשֹׁון֮,בְּ,וַ֠יָּחֵלּוּ בְּאֶחָ֞ד לַחֹ֣דֶשׁ הָרִאשֹׁון֮ לְקַדֵּשׁ֒ 
514852,simultaneous,2 Chr 29:17,בְיֹ֧ום שְׁמֹונָ֣ה לַחֹ֗דֶשׁ,בְּ,וּבְיֹ֧ום שְׁמֹונָ֣ה לַחֹ֗דֶשׁ בָּ֚אוּ לְאוּלָ֣ם יְהוָ֔ה 
514854,simultaneous,2 Chr 29:17,בְיֹ֨ום שִׁשָּׁ֥ה עָשָׂ֛ר לַחֹ֥דֶשׁ רִאשֹׁ֖ון,בְּ,וּבְיֹ֨ום שִׁשָּׁ֥ה עָשָׂ֛ר לַחֹ֥דֶשׁ הָרִאשֹׁ֖ון כִּלּֽוּ׃ ס 
514859,simultaneous,2 Chr 29:19,בְּמַלְכוּתֹ֛ו,בְּ,וְאֵ֣ת כָּל־הַכֵּלִ֗ים אֲשֶׁ֣ר הִזְנִיחַ֩ הַמֶּ֨לֶךְ אָחָ֧ז בְּמַלְכוּתֹ֛ו בְּמַעֲלֹ֖ו הֵכַ֣נּוּ 
514887,simultaneous,2 Chr 29:27,בְעֵ֞ת,בְּ,וּבְעֵ֞ת הֵחֵ֤ל שִׁיר־יְהוָה֙ וְהַחֲצֹ֣צְרֹ֔ות וְעַ֨ל־יְדֵ֔י כְּלֵ֖י דָּוִ֥יד מֶֽלֶךְ־יִשְׂרָאֵֽל׃ 
514934,simultaneous,2 Chr 30:2,בַּחֹ֥דֶשׁ שֵּׁנִֽי׃,בְּ,וַיִּוָּעַ֨ץ הַמֶּ֧לֶךְ וְשָׂרָ֛יו וְכָל־הַקָּהָ֖ל בִּירוּשָׁלִָ֑ם לַעֲשֹׂ֥ות הַפֶּ֖סַח בַּחֹ֥דֶשׁ הַשֵּׁנִֽי׃ 
514936,simultaneous,2 Chr 30:3,בָּעֵ֣ת הִ֑יא,בְּ,כִּ֣י לֹ֧א יָכְל֛וּ לַעֲשֹׂתֹ֖ו בָּעֵ֣ת הַהִ֑יא 
